"Nome do Município";"Valor ICMS";"Valor IPI";"Valor IPVA";"Valor Total"
"ABADIA DOS DOURADOS";"2.730.663,84";"48.763,12";"321.599,68";"3.101.026,64"
"ABAETE";"4.729.220,09";"84.460,41";"1.169.425,20";"5.983.105,70"
"ABRE CAMPO";"2.244.030,19";"40.005,32";"603.939,57";"2.887.975,08"
"ACAIACA";"1.058.669,46";"18.907,07";"101.071,12";"1.178.647,65"
"ACUCENA";"1.929.740,98";"34.521,12";"175.656,06";"2.139.918,16"
"AGUA BOA";"2.153.837,04";"38.456,23";"205.084,31";"2.397.377,58"
"AGUA COMPRIDA";"3.898.409,91";"69.613,25";"69.427,88";"4.037.451,04"
"AGUANIL";"1.436.030,59";"25.643,46";"128.449,14";"1.590.123,19"
"AGUAS FORMOSAS";"2.334.782,88";"41.758,07";"455.956,71";"2.832.497,66"
"AGUAS VERMELHAS";"2.584.781,15";"46.278,29";"122.935,33";"2.753.994,77"
"AIMORES";"5.822.043,47";"103.961,67";"743.122,20";"6.669.127,34"
"AIURUOCA";"1.925.261,01";"34.395,18";"219.312,07";"2.178.968,26"
"ALAGOA";"1.178.891,09";"21.057,69";"66.293,99";"1.266.242,77"
"ALBERTINA";"1.327.311,30";"23.706,32";"84.389,86";"1.435.407,48"
"ALEM PARAIBA";"6.353.505,37";"113.489,20";"2.865.223,05";"9.332.217,62"
"ALFENAS";"18.728.806,25";"334.635,12";"6.168.982,46";"25.232.423,83"
"ALFREDO VASCONCELOS";"1.779.858,48";"31.776,82";"214.061,01";"2.025.696,31"
"ALMENARA";"4.537.556,99";"80.964,95";"1.301.417,80";"5.919.939,74"
"ALPERCATA";"1.777.217,49";"31.760,31";"153.912,45";"1.962.890,25"
"ALPINOPOLIS";"4.941.762,09";"88.222,25";"953.960,20";"5.983.944,54"
"ALTEROSA";"3.114.348,92";"55.791,84";"560.999,42";"3.731.140,18"
"ALTO CAPARAO";"1.828.567,79";"32.687,50";"233.753,86";"2.095.009,15"
"ALTO JEQUITIBA";"2.268.899,91";"40.566,93";"343.443,64";"2.652.910,48"
"ALTO RIO DOCE";"1.574.051,72";"28.123,45";"272.962,92";"1.875.138,09"
"ALVARENGA";"1.355.966,39";"24.205,27";"91.763,68";"1.471.935,34"
"ALVINOPOLIS";"3.782.652,79";"67.543,15";"473.552,79";"4.323.748,73"
"ALVORADA DE MINAS";"1.963.852,50";"35.107,52";"58.333,76";"2.057.293,78"
"AMPARO DA SERRA";"1.238.345,49";"22.114,61";"109.023,84";"1.369.483,94"
"ANDRADAS";"11.758.407,70";"210.021,50";"2.473.504,75";"14.441.933,95"
"ANDRELANDIA";"2.679.612,16";"47.911,91";"368.021,63";"3.095.545,70"
"ANGELANDIA";"2.163.114,13";"38.651,67";"130.885,19";"2.332.650,99"
